epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,32171.1,1.2539,2.55662,0.9728,1.08688,0.48527,0.3212,0.33835,0.20874,0.45658,0.29788,0.31047,0.17308,1.46273,2.85113,1.14674,1.13041,0.000116319,0.000116319,0.000116319
76,32593.5,1.25975,2.56923,0.97633,1.08867,0.4901,0.32121,0.33757,0.20744,0.45893,0.29664,0.30716,0.17108,1.4653,2.84445,1.1456,1.13143,0.000112013,0.000112013,0.000112013
77,33016.8,1.25035,2.54451,0.96697,1.08362,0.48325,0.32418,0.33875,0.20938,0.46352,0.29739,0.30978,0.17334,1.46724,2.84836,1.14377,1.1341,0.000107706,0.000107706,0.000107706
78,33437.7,1.24965,2.54891,0.9676,1.08471,0.49558,0.31985,0.33863,0.20972,0.47619,0.29196,0.30958,0.17354,1.46764,2.84422,1.1439,1.13326,0.000103399,0.000103399,0.000103399
79,33859.9,1.24936,2.54751,0.96446,1.08216,0.48926,0.32092,0.34044,0.21047,0.46967,0.29208,0.31309,0.17464,1.46127,2.84344,1.14001,1.13249,9.9093e-05,9.9093e-05,9.9093e-05
80,34283.5,1.24946,2.54843,0.95761,1.08088,0.48905,0.32401,0.34042,0.20982,0.4585,0.30073,0.31385,0.17419,1.46304,2.84245,1.13812,1.1316,9.47865e-05,9.47865e-05,9.47865e-05
81,34703.7,1.25186,2.55173,0.9679,1.08449,0.48625,0.32089,0.34087,0.21044,0.46146,0.29688,0.3127,0.17527,1.46027,2.84125,1.1383,1.13085,9.048e-05,9.048e-05,9.048e-05
82,35127,1.2506,2.56099,0.95805,1.07919,0.48818,0.31904,0.33979,0.21032,0.46878,0.29358,0.31219,0.17467,1.46025,2.84082,1.13848,1.13074,8.61735e-05,8.61735e-05,8.61735e-05
83,35548.1,1.24967,2.55456,0.95967,1.08103,0.48118,0.32358,0.34147,0.21072,0.46202,0.29315,0.3127,0.17537,1.46275,2.84412,1.13498,1.13015,8.1867e-05,8.1867e-05,8.1867e-05
84,35973.6,1.24769,2.55236,0.9589,1.08091,0.48729,0.32008,0.33954,0.2103,0.45943,0.29167,0.31052,0.17474,1.46171,2.84481,1.13606,1.13258,7.75605e-05,7.75605e-05,7.75605e-05
85,36397.7,1.25625,2.55084,0.95969,1.08245,0.4849,0.31939,0.33993,0.21064,0.45887,0.2968,0.31285,0.17538,1.46175,2.84012,1.13778,1.13085,7.3254e-05,7.3254e-05,7.3254e-05
86,36820.9,1.24491,2.5412,0.95162,1.07817,0.50131,0.31914,0.34093,0.21106,0.47186,0.29842,0.31267,0.17568,1.45994,2.84097,1.139,1.13223,6.89475e-05,6.89475e-05,6.89475e-05
